County,Three Digit County Code,AVG_Crime_Rate,Crime_Rate20,Crime_Rate19,Crime_Rate18,Crime_Rate17,Crime_Rate16,Total_Miles
Albany,1,11520.85292,2366.221161,2626.725994,2719.349443,2853.672557,2847.860693,"58,947,626 4,999,950 55,602,628 4,708,340 54,040,515 4,976,715 53,504,262 5,478,449 53,389,694 5,227,417 "
Allegany,3,4980.959401,3461.339762,993.1394969,989.5000648,1090.659753,1215.392134,0 0 0 0 0 
Bronx,,,,,,,,
Broome,7,13145.77676,10428.67281,2712.111441,2670.87014,2889.446586,2787.614031,"7,297,643 7,195,868 7,028,557 6,249,954 3,585,649 "
Cattaraugus,9,6714.407191,4542.976558,1226.551227,1431.959139,1523.335795,1623.965719,0 0 0 0 0 
Cayuga,,,,,,,,
Chautauqua,,,,,,,,
Chemung,15,9342.05228,7144.554832,1945.949835,1711.232492,1847.332744,2408.626243,0 0 0 0 0 0 0 0 
Chenango,17,7984.223763,6649.724693,1659.821315,1500.989432,1494.502738,1998.965339,0 0 0 0 0 0 0 0 0 
Clinton,19,7284.547166,5711.208246,1464.432532,1437.867989,1507.537688,1732.467307,0 0 0 0 0 
Columbia,21,6622.746916,4703.58941,1208.41865,1490.342846,1606.645444,1376.622095,0 0 0 0 0 0 0 0 0 0 
Cortland,23,8446.230591,7366.104809,1560.852141,1624.022967,2078.019819,1710.114703,0 0 0 0 0 
Delaware,,,,,,,,
Dutchess,27,6262.302551,5046.111838,1207.413909,1245.686046,1395.513642,1404.466586,"2,933,439 0 3,247,100 0 4,191,390 4,858,260 2,680,908 "
Erie,29,11940.61048,9102.150831,2280.006922,2489.181371,2541.827192,2809.164824,"78,051,594 75,092,403 73,140,158 68,596,995 64,045,022 "
Essex,31,4515.117138,3338.594473,889.5017168,785.3332976,1119.373151,1053.190078,0 0 0 0 0 
Franklin,33,5895.352204,5484.176217,1021.915293,1031.296572,1362.970007,1382.335089,0 0 0 0 0 0 0 0 0 0 
Fulton,35,9319.27546,7186.257595,1897.40513,1759.421478,2021.74115,2203.456183,0 0 0 0 0 0 0 0 0 0 
Genesee,37,8699.167621,5665.547715,1767.861497,1644.959919,1976.551152,2176.685509,
Greene,39,5960.956364,4589.93136,1251.826905,1284.783021,1339.577664,1166.782502,0 0 0 0 0 
Hamilton,,,,,,,,
Herkimer,43,7413.399539,5986.132127,1274.528978,1300.194301,1868.37747,1773.072364,
Jefferson,45,9005.229431,7042.434523,1705.964065,1796.625871,1992.281122,2101.871469,0 0 0 0 0 
Kings,47,9160.41594,7446.874609,1862.953586,1942.026784,1918.240242,1947.820406,"17,464,177 4,893,198 17,966,636 4,945,545 17,875,468 4,123,830 3,851,730 65,570,465 888,168,117 31,702,817 1,902,225 "
Lewis,49,3707.335849,2242.118727,615.2911239,781.0436554,977.2231827,885.3541417,0 0 0 0 0 
Livingston,,,,,,,,
Madison,,,,,,,,
Monroe,55,11228.44385,8473.578662,2225.005218,2238.259484,2548.794396,2521.669018,"53,131,680 0 54,325,977 0 50,345,826 0 46,649,235 0 47,602,711 0 0 0 0 "
Montgomery,57,8075.615012,6185.900024,1393.982373,1456.506808,1908.420218,2079.525608,0 0 0 0 0 0 0 0 0 0 0 0 
Nassau,59,4835.880369,3508.877512,987.1887428,985.9122764,1034.36335,1126.640498,"150,113,199 482,109 142,962,144 590,668 126,842,031 577,723 136,184,970 574,543 83,766,799 523,658 "
New York,61,14096.82338,11255.94732,3054.414376,3052.573737,2888.251629,2850.394172,"1,553,770,171 158,465,369 54,624,590 2,522,415,696 123,750 369,132,750 4,479,822 155,687,450 1,450,951,265 58,472,429 427,858 2,270,934,422 347,110,002 17,622,377 158,586,769 1,472,423,041 56,084,904 479,073 2,154,521,183 381,346,415 16,650,254 153,389,117 1,478,429,570 57,076,245 488,542 2,034,489,613 377,941,829 0 13,374,216 79,024 671,661,254 202,709,642 0 8,361,268 "
Niagara,63,11447.63614,8964.291424,1990.332263,2105.563481,2654.200113,2904.681998,0 0 0 0 0 
Oneida,65,9913.202904,7690.683899,1997.02068,2027.624863,2079.311244,2271.109336,0 0 0 0 0 
Onondaga,67,10735.34012,8379.991438,2151.799857,2153.976055,2358.593721,2394.972196,"40,108,345 0 0 35,437,181 0 0 33,908,580 33,222,131 29,228,548 "
Ontario,,,,,,,,
Orange,71,7599.642006,4833.026846,1365.112352,1554.610092,1778.644682,1934.66951,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Orleans,73,7285.191406,4600.550281,1204.431117,1473.911762,1871.860835,1814.877635,0 0 0 0 0 
Oswego,75,8190.075837,6126.356094,1617.151556,1729.918312,1671.676066,1946.058685,0 0 0 0 0 
Otsego,77,5643.645681,4353.769394,1051.443207,1201.778432,1224.251522,1295.418641,0 0 0 0 0 0 0 0 0 0 0 0 0 0 
Putnam,79,2462.025826,1630.011877,382.6983789,507.7322976,634.9784128,610.6143611,"1,063,314 919,317 834,327 840,457 369,112 "
Queens,81,7040.079715,6226.823598,1441.16397,1456.300439,1431.667296,1465.583291,"2,154,354,158 2,996,872,220 3,405,961,936 3,929,859,957 1,229,284,540 "
Rensselaer,83,10045.81595,7909.141687,2017.222184,1941.023004,2209.604683,2296.137743,0 0 0 0 0 
Richmond,,,,,,,,
Rockland,87,4668.591172,3239.450357,883.0955533,986.6239222,1048.983364,1101.998261,"18,985,669 25,284,803 0 0 0 18,003,634 25,127,727 0 0 0 15,594,160 25,869,858 0 0 0 11,836,174 25,363,296 0 0 7,256,807 15,217,978 0 0 "
Saratoga,91,5371.293389,3782.951262,1008.992532,1134.156357,1218.852752,1252.701495,0 0 0 0 0 
Schenectady,,,,,,,,
Schoharie,95,4861.552503,4239.569314,756.7950535,1026.233083,1004.478567,1226.131937,0 0 0 0 0 0 0 0 0 0 
Schuyler,97,1973.114672,1095.094424,370.5367168,336.2851698,390.8431044,656.4307966,0 0 0 0 0 
Seneca,,,,,,,,
St. Lawrence,89,6136.595148,4169.393116,1033.721211,1290.839737,1390.11474,1588.040838,0 0 0 0 0 
Steuben,101,5663.141979,3688.664729,948.3048003,1087.86349,1315.639299,1573.601444,0 0 0 0 0 0 0 0 
Suffolk,103,6461.979444,4756.999056,1230.717197,1280.26176,1446.360915,1553.239761,"32,954,728 76,263,570 644,489 30,606,878 74,329,400 586,655 27,882,104 73,791,820 502,809 26,180,648 74,435,077 15,922,070 23,671,377 268,357 "
Sullivan,105,7153.29856,4333.507114,1347.434184,1589.259893,1709.333333,1640.569728,0 0 0 0 0 
Tioga,,,,,,,,
Tompkins,109,9128.426722,8046.150936,1829.93204,1875.329648,1914.709289,1899.225559,"10,179,113 10,085,839 11,554,814 11,737,736 4,400,847 "
Ulster,111,6205.303345,4168.247631,1188.087651,1267.155902,1439.686538,1476.723729,"41,597,934 4,108,254 0 41,243,072 3,639,455 0 41,046,163 3,600,877 0 38,171,250 1,683,618 10,563,655 "
Warren,113,7061.844601,4514.961133,1139.418568,1482.82998,1675.309754,1861.294072,0 0 0 0 0 
Washington,,,,,,,,
Wayne,117,7626.011414,5880.613039,1363.899528,1645.766286,1653.230711,1786.992282,0 0 0 0 0 
Westchester,119,5321.193862,4104.506216,997.8656991,1016.174576,1193.77382,1292.478523,"143,792,577 124,225,106 118,800,235 114,898,810 67,733,951 "
Wyoming,121,3742.962153,3000.172707,644.789001,831.0871518,858.6460195,808.4054388,0 0 0 0 0 
Yates,,,,,,,,
